city,category,n_businesses,mean_jaccard,n_pairs
Conshohocken,Active Life,5,0.067,5
Conshohocken,Gyms,5,0.067,5
Tampa,Used,14,0.0669,14
Royersford,Automotive,8,0.0669,6
Tampa,Vintage & Consignment,14,0.0669,14
Tampa,Professional Services,57,0.0669,43
Tarpon Springs,Home Services,6,0.0668,3
King of Prussia,Department Stores,7,0.0667,7
Malvern,Shopping,6,0.0667,4
St. Petersburg,Active Life,46,0.0667,58
Dublin,Restaurants,7,0.0666,8
Philadelphia,Home & Garden,185,0.0666,250
Saint Petersburg,Pet Sitting,5,0.0666,5
Land O' Lakes,Nightlife,5,0.0666,5
Land O' Lakes,Bars,5,0.0666,5
West Chester,Automotive,43,0.0666,47
Tampa,Boxing,6,0.0666,5
Pottstown,Breakfast & Brunch,7,0.0666,8
Lansdale,Coffee & Tea,8,0.0666,7
Tampa,Photography Stores & Services,6,0.0664,3
Philadelphia,Shaved Ice,11,0.0664,13
Ardmore,Local Services,5,0.0664,3
Clearwater,Grocery,25,0.0664,29
Safety Harbor,Health & Medical,5,0.0664,3
Audubon,Food,9,0.0664,10
Tampa,Financial Services,41,0.0663,34
Dunedin,Beauty & Spas,12,0.0663,8
Wayne,Local Services,7,0.0663,5
Philadelphia,Knitting Supplies,7,0.0663,13
Palm Harbor,Health & Medical,39,0.0663,37
Hudson,American (Traditional),14,0.0663,14
Oldsmar,Food,35,0.0662,40
Holiday,Restaurants,31,0.0662,72
Ruskin,Food,11,0.0662,17
Richboro,Sandwiches,8,0.0661,13
Langhorne,Home Services,9,0.0661,9
Philadelphia,Food Stands,58,0.0661,135
Tampa,Bookstores,5,0.066,4
King of Prussia,Health & Medical,8,0.066,5
Spring Hill,Doctors,7,0.0659,6
Spring Hill,Dentists,7,0.0659,8
Tampa,Fitness & Instruction,127,0.0659,179
Philadelphia,Arts & Crafts,59,0.0659,104
Newtown,Event Planning & Services,11,0.0659,10
Tampa,Trainers,41,0.0659,39
Seminole,Fast Food,16,0.0658,45
Palm Harbor,Hair Salons,10,0.0658,11
Zephyrhills,Food,23,0.0657,37
Aston,Italian,5,0.0657,5
Tampa,Beer,78,0.0657,78
Tampa,Wine & Spirits,78,0.0657,78
Seminole,Active Life,9,0.0656,12
Tampa,Hardware Stores,10,0.0655,8
Lutz,Sandwiches,11,0.0655,9
Tampa,Bubble Tea,24,0.0655,59
Spring Hill,Chicken Wings,7,0.0655,6
Port Richey,Buffets,6,0.0655,9
Largo,Vape Shops,8,0.0654,10
Clearwater,Real Estate,18,0.0654,20
Philadelphia,Turkish,7,0.0654,6
Richboro,Pizza,6,0.0654,17
Philadelphia,Dry Cleaning & Laundry,40,0.0653,35
Dunedin,Food,96,0.0653,216
Brookhaven,Burgers,7,0.0653,7
Phoenixville,Arts & Entertainment,8,0.0652,14
Plant City,Burgers,12,0.0651,13
Tampa,Health Markets,6,0.0651,7
Palm Harbor,Home Services,27,0.0651,25
Penndel,Restaurants,7,0.065,14
Seffner,Fast Food,8,0.065,27
Philadelphia,Laundry Services,42,0.0649,36
Tampa,Nurseries & Gardening,26,0.0649,23
Tampa,Specialty Food,165,0.0649,239
Tampa,Doctors,151,0.0649,167
Richboro,Restaurants,33,0.0648,118
Hudson,Automotive,8,0.0648,4
Tarpon Springs,Food,51,0.0648,92
Dunedin,Local Services,8,0.0647,10
Land O' Lakes,Food,8,0.0646,7
Saint Petersburg,Fitness & Instruction,7,0.0645,4
Spring Hill,Automotive,16,0.0645,16
Largo,Home & Garden,16,0.0645,14
Doylestown,Food,64,0.0644,162
Largo,Food,115,0.0644,222
Plant City,Beauty & Spas,11,0.0644,13
Brandon,Health & Medical,74,0.0644,75
Spring Hill,Chinese,6,0.0644,6
Doylestown,Automotive,26,0.0644,31
Philadelphia,Pharmacy,13,0.0643,10
Dunedin,Pizza,13,0.0643,13
King Of Prussia,Fashion,7,0.0643,8
Lansdowne,Beauty & Spas,5,0.0643,4
Bensalem,Sandwiches,22,0.0642,30
Temple Terrace,Fast Food,8,0.0642,11
Tampa,IT Services & Computer Repair,13,0.0642,11
Philadelphia,Tapas Bars,11,0.0642,12
Hatboro,Pizza,9,0.0642,11
Pottstown,Chinese,7,0.0642,6
Collegeville,Health & Medical,15,0.0642,14
Tampa,Yoga,20,0.0641,20
Lansdale,Fast Food,9,0.0641,11
Oldsmar,Sandwiches,11,0.0641,18
Tampa,Chiropractors,13,0.0641,15
Warminster,Pizza,16,0.064,24
Clearwater,Doctors,12,0.064,7
Phoenixville,Food,74,0.0639,216
Spring Hill,Beauty & Spas,37,0.0639,48
Palm Harbor,Coffee & Tea,6,0.0639,7
Ardmore,Home Services,6,0.0639,4
Blue Bell,Italian,10,0.0639,13
Pottstown,Automotive,6,0.0639,5
Hudson,Sandwiches,7,0.0639,6
Seminole,Beauty & Spas,15,0.0638,12
Philadelphia,Real Estate Services,13,0.0638,13
West Chester,Specialty Food,10,0.0638,10
Philadelphia,African,15,0.0637,34
Pottstown,Diners,5,0.0637,6
Largo,Fast Food,38,0.0637,49
Bristol,Restaurants,41,0.0637,94
Saint Petersburg,Education,6,0.0636,4
Aston,Pizza,9,0.0636,21
Clearwater,Appliances,6,0.0635,5
Levittown,Pizza,25,0.0634,34
Philadelphia,Cinema,30,0.0634,73
New Port Richey,Nail Salons,13,0.0634,10
West Chester,Active Life,19,0.0634,19
Philadelphia,Community Service/Non-Profit,17,0.0633,12
Schwenksville,Pizza,5,0.0633,11
Spring Hill,Health & Medical,27,0.0633,40
Philadelphia,Bookstores,27,0.0632,43
Warrington,Food,26,0.0631,45
Downingtown,Home Services,10,0.0631,7
Clearwater,Gyms,6,0.0631,5
Philadelphia,Keys & Locksmiths,11,0.0631,12
Warminster,Burgers,6,0.0631,4
Doylestown,Hair Salons,9,0.0631,8
Exton,Food,50,0.0629,73
Largo,Parks,5,0.0629,6
West Chester,Fitness & Instruction,12,0.0628,13
Upper Darby,Beauty & Spas,12,0.0628,14
Lutz,Automotive,12,0.0628,11
Folsom,Sandwiches,8,0.0628,10
Philadelphia,Electronics,27,0.0627,24
Downingtown,Automotive,13,0.0627,11
Philadelphia,Interior Design,9,0.0627,9
Hudson,Restaurants,90,0.0626,263
Philadelphia,Farmers Market,11,0.0626,11
Tampa,Cinema,12,0.0626,22
Clearwater,Fitness & Instruction,12,0.0626,9
Lithia,Food,13,0.0625,25
Horsham,Automotive,6,0.0625,5
Philadelphia,Dance Clubs,64,0.0625,139
Wesley Chapel,Food,73,0.0624,190
Brandon,Pets,10,0.0624,6
Tampa,Health & Medical,597,0.0623,835
Saint Petersburg,Home Services,69,0.0623,70
Norristown,Restaurants,129,0.0623,392
St. Petersburg,Barbeque,5,0.0623,5
Philadelphia,Appliances & Repair,14,0.0623,9
Lansdale,Food,51,0.0623,87
Ardmore,Food,53,0.0622,133
Trinity,American (New),5,0.0622,6
Jenkintown,Local Services,7,0.062,5
North Wales,Food,22,0.062,21
Harleysville,Food,12,0.062,16
Tampa,Local Services,354,0.062,403
Saint Petersburg,Active Life,31,0.062,23
Clearwater,General Dentistry,6,0.062,4
Oldsmar,Automotive,7,0.0619,7
Lutz,Health & Medical,25,0.0619,21
Tampa,Gyms,59,0.0619,66
Brandon,Event Planning & Services,6,0.0618,6
Philadelphia,Floral Designers,6,0.0618,4
Palm Harbor,Food,84,0.0617,147
Largo,Tires,7,0.0617,5
Brookhaven,Restaurants,26,0.0617,54
King of Prussia,Mags,7,0.0617,5
Dunedin,Delis,5,0.0617,4
King of Prussia,Books,7,0.0617,5
King of Prussia,Music & Video,7,0.0617,5
Havertown,Pizza,13,0.0616,26
Narberth,Shopping,11,0.0616,11
Tampa,Barbers,41,0.0615,48
Largo,Delis,10,0.0615,7
Havertown,Health & Medical,6,0.0615,4
Seffner,Food,16,0.0615,24
Philadelphia,Grocery,211,0.0615,329
Tampa,Dentists,56,0.0614,51
Norristown,Home Services,10,0.0614,7
Pottstown,Health & Medical,9,0.0614,6
Temple Terrace,Burgers,6,0.0614,7
Tampa,Motorcycle Dealers,8,0.0614,12
Spring Hill,Ice Cream & Frozen Yogurt,8,0.0614,8
Clearwater,Active Life,61,0.0614,65
Exton,Automotive,8,0.0614,6
Philadelphia,Gift Shops,8,0.0613,5
Oldsmar,Specialty Food,5,0.0612,3
Brandon,Day Spas,9,0.0612,8
Glenolden,Pizza,9,0.0612,14
Riverview,Barbeque,8,0.0612,12
Willow Grove,Health & Medical,8,0.0612,7
Pinellas Park,Fashion,5,0.0612,4
Wesley Chapel,Active Life,14,0.0612,11
Lansdale,Home Services,10,0.0611,9
Tampa,Pet Stores,14,0.0611,14
Spring Hill,Restaurants,145,0.0611,704
Paoli,Coffee & Tea,6,0.061,9
Clearwater,Home Services,139,0.0609,165
Wesley Chapel,Fast Food,11,0.0609,20
Philadelphia,Psychics,6,0.0609,23
Palm Harbor,Cafes,8,0.0609,17
Philadelphia,Supernatural Readings,6,0.0609,23
Bryn Mawr,Coffee & Tea,9,0.0608,12
Dunedin,Active Life,16,0.0608,18
Doylestown,Coffee & Tea,8,0.0608,8
Chester,Restaurants,16,0.0607,20
Philadelphia,Musical Instruments & Teachers,11,0.0607,8
Aston,Sandwiches,10,0.0607,8
Royersford,Food,36,0.0607,52
Abington,Beauty & Spas,10,0.0606,7
Clearwater,Home Decor,13,0.0606,13
Lansdale,Beauty & Spas,20,0.0606,20
Pottstown,Home Services,13,0.0605,9
Croydon,Restaurants,15,0.0605,28
Warminster,Auto Repair,8,0.0605,6
Tampa,Food,1630,0.0605,5530
Bensalem,Beauty & Spas,26,0.0604,32
Tampa,Real Estate Services,10,0.0604,15
Philadelphia,Laundromat,7,0.0603,7
Tampa,Guns & Ammo,8,0.0603,5
Tampa,Spanish,25,0.0603,25
Philadelphia,General Dentistry,29,0.0603,20
Saint Petersburg,Pet Services,22,0.0603,26
Havertown,Sports Bars,6,0.0603,6
Largo,Automotive,46,0.0603,42
Hatboro,Food,16,0.0602,17
Tampa,Flooring,11,0.0602,8
Ambler,Nightlife,11,0.0602,14
Philadelphia,Music Venues,71,0.0602,152
Ambler,Bars,11,0.0602,14
Zephyrhills,Automotive,5,0.0602,3
Broomall,Sandwiches,10,0.0602,9
St. Petersburg,Hair Salons,6,0.0601,4
Philadelphia,Photography Stores & Services,16,0.0601,15
Norristown,Automotive,12,0.0601,10
Bryn Mawr,Sandwiches,11,0.06,13
Doylestown,Ice Cream & Frozen Yogurt,8,0.06,6
Havertown,Breakfast & Brunch,6,0.0599,12
Thorndale,Restaurants,17,0.0599,46
Tampa,Cannabis Clinics,7,0.0599,12
Schwenksville,Restaurants,16,0.0599,27
Collingdale,Restaurants,6,0.0598,5
Spring Hill,Nail Salons,15,0.0597,17
Ridley Park,Restaurants,13,0.0596,14
Malvern,Grocery,5,0.0596,5
East Norriton,American (Traditional),6,0.0595,9
Richboro,Italian,8,0.0595,23
Philadelphia,Lounges,129,0.0595,213
Philadelphia,Dance Studios,14,0.0594,11
Pinellas Park,Sandwiches,14,0.0594,18
Hudson,Bars,9,0.0594,12
Tampa,Obstetricians & Gynecologists,8,0.0594,7
St. Petersburg,Home Services,14,0.0593,11
West Chester,Apartments,8,0.0593,11
Zephyrhills,Breakfast & Brunch,7,0.0593,7
Palm Harbor,Automotive,18,0.0593,17
Fairless Hills,Restaurants,30,0.0593,50
Frazer,Restaurants,12,0.0593,13
Clearwater,Home & Garden,42,0.0593,50
Lutz,Food,76,0.0593,111
West Chester,Real Estate,8,0.0593,11
Phoenixville,Breweries,9,0.0592,31
Chadds Ford,Food,5,0.0592,5
Newtown,Beauty & Spas,24,0.0592,28
Riverview,Fast Food,33,0.0591,56
Hudson,Nightlife,12,0.0591,15
Wesley Chapel,Coffee & Tea,13,0.0591,15
King of Prussia,Food,62,0.0591,92
Tampa,General Dentistry,28,0.059,25
Philadelphia,Mattresses,5,0.0589,5
Marcus Hook,Restaurants,6,0.0589,7
West Chester,Home Services,36,0.0589,37
Philadelphia,Indonesian,15,0.0589,55
Saint Petersburg,Hair Salons,15,0.0589,10
Clearwater,Local Services,83,0.0589,81
Valrico,Burgers,5,0.0589,6
Upper Chichester,Restaurants,5,0.0589,4
Media,American (Traditional),15,0.0588,16
Tampa,Latin American,90,0.0588,145
Clearwater,Specialty Food,12,0.0588,9
Philadelphia,Playgrounds,9,0.0587,5
Tampa,Tanning,6,0.0587,6
Harleysville,Pizza,7,0.0587,15
Morrisville,Beauty & Spas,8,0.0587,6
Apollo Beach,Restaurants,32,0.0587,115
Wesley Chapel,Breakfast & Brunch,13,0.0587,26
Palm Harbor,Sports Bars,8,0.0586,7
Tampa,Cannabis Dispensaries,7,0.0586,11
Spring Hill,Hair Removal,6,0.0586,5
Dunedin,Arts & Entertainment,8,0.0586,10
Lutz,Latin American,6,0.0586,4
Oldsmar,Fast Food,10,0.0585,6
Hudson,Home Services,10,0.0585,7
Plant City,Home Services,5,0.0585,6
Lithia,Pizza,5,0.0585,6
Chalfont,Food,12,0.0584,13
Southampton,Beauty & Spas,8,0.0584,5
Saint Petersburg,Local Services,35,0.0582,26
Largo,Local Services,42,0.0582,43
Tampa,Irish,10,0.0581,10
Lithia,Restaurants,25,0.0581,77
Largo,Active Life,26,0.0581,23
Largo,Sandwiches,36,0.0581,43
Palm Harbor,Salad,7,0.058,7
Clearwater,Asian Fusion,7,0.058,5
Pottstown,American (New),6,0.058,8
Philadelphia,Korean,67,0.0579,121
Oldsmar,Breakfast & Brunch,6,0.0579,8
Doylestown,Arts & Entertainment,10,0.0579,8
New Hope,Fashion,6,0.0579,6
Phoenixville,Sandwiches,11,0.0579,20
Bensalem,Breakfast & Brunch,7,0.0578,6
Jenkintown,Shopping,23,0.0578,23
Philadelphia,Shopping Centers,6,0.0578,7
Conshohocken,Local Services,11,0.0578,10
Chadds Ford,Sandwiches,5,0.0578,5
Pinellas Park,Food,50,0.0578,97
Tampa,Dim Sum,6,0.0578,14
Clearwater,Dentists,9,0.0577,7
Port Richey,Chinese,7,0.0577,9
Tampa,Beer Bar,26,0.0577,46
Clearwater,Cosmetic Dentists,9,0.0577,7
Brandon,Skin Care,11,0.0577,7
St. Petersburg,Gyms,5,0.0577,4
Avondale,Restaurants,13,0.0577,23
West Chester,Gyms,6,0.0576,4
Philadelphia,Urgent Care,13,0.0576,9
Valrico,Automotive,11,0.0576,9
Phoenixville,Health & Medical,10,0.0576,11
East Norriton,Active Life,5,0.0576,5
Phoenixville,Event Planning & Services,7,0.0575,7
Zephyrhills,Burgers,8,0.0575,7
Malvern,Local Services,6,0.0575,4
Spring Hill,Active Life,8,0.0575,9
Glen Mills,Fashion,7,0.0575,7
Havertown,Restaurants,82,0.0574,351
Norristown,Nail Salons,16,0.0574,19
Tampa,Delis,52,0.0574,62
Pottstown,Pizza,26,0.0574,52
Philadelphia,Dive Bars,50,0.0573,133
Tampa,Automotive,418,0.0573,518
Tampa,Vape Shops,15,0.0573,14
Bala Cynwyd,Sandwiches,8,0.0573,7
Largo,Desserts,9,0.0573,10
Lansdowne,Restaurants,40,0.0572,97
Levittown,Italian,14,0.0572,15
Tampa,Men's Hair Salons,19,0.0572,16
King of Prussia,Beauty & Spas,28,0.0572,27
Lutz,Active Life,11,0.0572,7
Clearwater,Electronics,8,0.0572,7
King of Prussia,Accessories,5,0.0572,5
Feasterville,Restaurants,14,0.0572,18
Philadelphia,Ophthalmologists,6,0.0571,4
Philadelphia,Tobacco Shops,29,0.0571,40
Indian Rocks Beach,Active Life,5,0.0571,5
Largo,Doctors,8,0.057,5
Havertown,American (Traditional),10,0.057,17
Tampa,Cupcakes,9,0.057,7
Spring Hill,Breakfast & Brunch,10,0.0569,12
Ardmore,Italian,7,0.0569,6
West Chester,Coffee & Tea,24,0.0569,30
Royersford,Pizza,8,0.0568,8
Tampa,Tree Services,5,0.0568,3
Lutz,Local Services,9,0.0568,7
Clearwater,Arts & Entertainment,18,0.0568,14
Bensalem,Chinese,7,0.0568,5
Doylestown,Pets,7,0.0568,4
Tampa,Car Wash,17,0.0567,12
Brookhaven,Sandwiches,5,0.0567,4
Clearwater,Oil Change Stations,8,0.0567,6
Pinellas Park,Burgers,6,0.0567,4
Audubon,Restaurants,15,0.0567,27
Doylestown,Beauty & Spas,32,0.0566,46
Warminster,Beauty & Spas,12,0.0566,12
Spring Hill,American (Traditional),18,0.0566,38
Tampa,Keys & Locksmiths,7,0.0566,6
Wesley Chapel,Local Services,17,0.0566,14
St. Petersburg,Vegan,6,0.0566,4
Tarpon Springs,Automotive,8,0.0566,7
Philadelphia,Jewelry,64,0.0566,77
Tampa,Peruvian,12,0.0565,24
Yardley,Delis,6,0.0565,4
New Port Richey,Coffee & Tea,10,0.0565,8
Port Richey,Restaurants,93,0.0565,232
Philadelphia,Delis,161,0.0564,169
Bala Cynwyd,Fast Food,5,0.0564,10
Phoenixville,Burgers,6,0.0564,5
Brandon,Doctors,13,0.0564,7
Riverview,Burgers,15,0.0564,17
Norristown,Sandwiches,19,0.0564,21
Havertown,Home Services,11,0.0564,10
Philadelphia,Flowers & Gifts,44,0.0563,39
Odessa,Beauty & Spas,6,0.0562,4
Philadelphia,Adult Entertainment,19,0.0562,51
Tampa,Home Services,700,0.0562,928
Philadelphia,Ethiopian,11,0.0562,25
Clearwater,Massage Therapy,5,0.0562,6
Pinellas Park,Coffee & Tea,7,0.0561,6
Riverview,Desserts,5,0.0561,6
Wesley Chapel,Desserts,9,0.0561,7
Philadelphia,Hobby Shops,18,0.0561,14
Media,Event Planning & Services,6,0.0561,3
Apollo Beach,Breakfast & Brunch,5,0.0561,14
Royersford,Restaurants,65,0.0561,228
St. Petersburg,Wine & Spirits,7,0.056,6
Apollo Beach,Bars,10,0.056,23
Apollo Beach,Nightlife,10,0.056,23
Pottstown,Restaurants,131,0.056,599
Wesley Chapel,Automotive,17,0.056,15
Philadelphia,Family Practice,6,0.056,3
St. Petersburg,Beer,7,0.056,6
Spring Hill,Mexican,7,0.056,11
Riverview,Sports Bars,7,0.0559,11
Philadelphia,Sporting Goods,45,0.0559,44
Largo,Home Services,59,0.0559,57
King of Prussia,Local Services,7,0.0559,4
Pennsburg,Restaurants,10,0.0559,25
Holland,Restaurants,8,0.0559,7
Upper Darby,Food,18,0.0559,20
Palm Harbor,Beauty & Spas,40,0.0559,44
Norristown,Beauty & Spas,27,0.0559,30
Philadelphia,Fruits & Veggies,12,0.0558,13
Narberth,Food,13,0.0558,19
Philadelphia,Fast Food,260,0.0558,313
Oaks,Restaurants,10,0.0557,19
St. Petersburg,Wine Bars,11,0.0557,23
Trevose,Restaurants,14,0.0557,17
Palm Harbor,Sandwiches,16,0.0557,12
Seffner,Nail Salons,5,0.0557,7
Seffner,Beauty & Spas,5,0.0557,7
Clearwater,Automotive,78,0.0556,68
New Hope,Beauty & Spas,10,0.0556,16
Malvern,Mexican,6,0.0556,9
Clearwater,Fast Food,46,0.0555,52
Saint Petersburg,Art Galleries,5,0.0555,5
Media,Active Life,8,0.0554,8
Wesley Chapel,Skin Care,9,0.0554,6
King of Prussia,Men's Clothing,8,0.0554,7
Plant City,Pizza,6,0.0553,8
Ardmore,Japanese,6,0.0553,5
Tampa,Airports,6,0.0553,4
Philadelphia,Organic Stores,9,0.0553,13
Dunedin,Nightlife,43,0.0553,119
Philadelphia,Cosmetics & Beauty Supply,49,0.0552,51
Philadelphia,Education,82,0.0552,74
Pipersville,Restaurants,11,0.0552,19
Bristol,Nightlife,6,0.0552,7
Saint Petersburg,Pets,31,0.0552,37
St. Petersburg,Doctors,5,0.0552,3
Downingtown,Shopping,18,0.0552,15
Seminole,Local Services,15,0.0552,12
Doylestown,Vegetarian,5,0.0551,4
Philadelphia,Doctors,115,0.0551,111
Clearwater,Auto Repair,19,0.0551,16
Collegeville,Food,17,0.0551,23
Bala Cynwyd,Food,11,0.055,11
Levittown,Beauty & Spas,17,0.055,14
Saint Petersburg,Cosmetic Dentists,6,0.055,3
Philadelphia,Noodles,23,0.055,35
New Hope,Shopping,31,0.055,52
Valrico,American (Traditional),6,0.055,6
Tampa,Kitchen & Bath,14,0.055,7
St. Petersburg,Specialty Food,14,0.055,13
Wesley Chapel,Sandwiches,8,0.055,10
Bensalem,American (New),7,0.0549,7
St. Petersburg,Health & Medical,54,0.0549,43
Collegeville,Sandwiches,8,0.0549,10
Tampa,Fast Food,231,0.0549,359
Narberth,American (New),5,0.0548,9
Harleysville,Italian,8,0.0548,9
Pinellas Park,Bubble Tea,6,0.0548,20
Philadelphia,Beer Gardens,20,0.0548,35
Bala Cynwyd,Health & Medical,12,0.0548,7
Tampa,Pubs,47,0.0547,81
Newtown,Restaurants,93,0.0546,348
Philadelphia,Dentists,73,0.0546,60
Swarthmore,Restaurants,15,0.0546,38
Havertown,American (New),7,0.0545,12
Warminster,American (Traditional),9,0.0545,12
Philadelphia,Cards & Stationery,16,0.0545,13
New Port Richey,American (Traditional),32,0.0545,52
Tampa,Dry Cleaning & Laundry,21,0.0545,18
Tampa,Bagels,10,0.0545,7
Tampa,Laundry Services,26,0.0545,22
Tampa,Chicken Shop,25,0.0545,31
San Antonio,Restaurants,6,0.0545,9
Bensalem,Nail Salons,10,0.0544,12
Southampton,Burgers,5,0.0544,4
Clearwater,Bakeries,11,0.0544,10
Philadelphia,Health Markets,11,0.0544,10
Clearwater,Sporting Goods,9,0.0544,7
Tampa,Massage Therapy,28,0.0543,24
Chalfont,Shopping,6,0.0543,3
Doylestown,Health & Medical,20,0.0543,18
Royersford,Coffee & Tea,8,0.0543,6
Yardley,American (New),6,0.0542,20
Philadelphia,Elementary Schools,6,0.0542,4
Dunedin,Sports Bars,8,0.0542,9
Southampton,Food,12,0.0542,13
Port Richey,Bars,9,0.0542,11
Port Richey,Nightlife,9,0.0542,11
Tampa,Optometrists,14,0.0541,8
Blue Bell,Restaurants,54,0.0541,185
Pottstown,Sandwiches,16,0.0541,15
Dunedin,Bars,40,0.0541,105
Philadelphia,Active Life,467,0.0541,964
Philadelphia,Brewpubs,13,0.0541,22
Boyertown,Restaurants,21,0.0541,54
Hudson,Italian,9,0.054,11
Plant City,Desserts,8,0.054,12
Clearwater,Tires,6,0.0539,4
Port Richey,Sandwiches,5,0.0539,4
Tampa,Eyewear & Opticians,12,0.0539,7
Hudson,Pizza,12,0.0539,17
Woodlyn,Restaurants,6,0.0539,5
Phoenixville,Coffee & Tea,7,0.0539,10
Tampa,Gift Shops,7,0.0539,4
Philadelphia,Burgers,219,0.0539,246
Philadelphia,Beer,154,0.0538,197
Gilbertsville,Restaurants,18,0.0538,26
Philadelphia,Auto Parts & Supplies,20,0.0538,19
Brandon,Automotive,32,0.0538,26
Philadelphia,Preschools,16,0.0538,14
Clearwater,Auto Parts & Supplies,6,0.0538,4
Philadelphia,Wine & Spirits,154,0.0538,197
Tampa,Ice Cream & Frozen Yogurt,99,0.0538,149
St. Petersburg,Hotels & Travel,8,0.0538,5
Philadelphia,Automotive,410,0.0537,497
Newtown,Sandwiches,14,0.0537,19
Philadelphia,Polish,6,0.0537,6
Wesley Chapel,Italian,5,0.0537,4
Perkasie,Restaurants,32,0.0537,78
Pinellas Park,Soup,6,0.0537,19
Brandon,Coffee & Tea,12,0.0536,11
Belleair Bluffs,Food,11,0.0536,10
St. Petersburg,Fitness & Instruction,15,0.0536,13
Kennett Square,Arts & Entertainment,5,0.0535,4
West Chester,Local Services,21,0.0535,22
Tampa,Hair Stylists,45,0.0535,43
Tampa,Self Storage,19,0.0534,14
Levittown,Home Services,11,0.0534,10
Hatboro,Restaurants,50,0.0534,89
Philadelphia,Chicken Wings,119,0.0534,113
Warminster,Automotive,9,0.0534,8
Philadelphia,Florists,13,0.0533,9
New Port Richey,Restaurants,207,0.0533,696
Wesley Chapel,Waxing,9,0.0533,8
Phoenixville,Cafes,7,0.0533,9
Clearwater,Apartments,14,0.0533,13
Yardley,Pizza,8,0.0533,10
St. Petersburg,Food,149,0.0532,239
Clearwater,Contractors,9,0.0532,6
St. Petersburg,Ice Cream & Frozen Yogurt,5,0.0532,4
Ardmore,Specialty Food,8,0.0532,10
Phoenixville,Bars,24,0.0532,91
Downingtown,Auto Repair,11,0.0532,9
Royersford,Breakfast & Brunch,5,0.0532,8
Philadelphia,Specialty Food,270,0.0532,390
King of Prussia,Italian,12,0.0532,11
Port Richey,Automotive,12,0.0531,11
Clearwater,Food,248,0.0531,399
Huntingdon Valley,Beauty & Spas,8,0.0531,8
Upper Darby,Restaurants,69,0.0531,143
Wynnewood,Food,14,0.0531,20
Philadelphia,Medical Centers,16,0.053,11
Royersford,Italian,5,0.053,9
Pottstown,American (Traditional),31,0.053,86
Ardmore,Arts & Entertainment,5,0.053,3
Lutz,Home Services,11,0.053,7
Exton,Fast Food,8,0.053,11
St. Petersburg,Local Services,6,0.053,4
Conshohocken,Shopping,10,0.053,8
Largo,Coffee & Tea,21,0.0529,23
Philadelphia,Professional Services,99,0.0529,82
New Port Richey,Mexican,11,0.0529,11
Brandon,Burgers,28,0.0529,34
St Petersburg,Beauty & Spas,6,0.0529,5
Philadelphia,Gay Bars,18,0.0528,89
Wesley Chapel,Cafes,11,0.0528,17
Chalfont,Pizza,7,0.0528,17
Tampa,Mexican,159,0.0528,207
Downingtown,Italian,14,0.0528,18
Conshohocken,Coffee & Tea,12,0.0528,12
Philadelphia,Kids Activities,5,0.0528,4
Collegeville,Beauty & Spas,16,0.0527,12
Oldsmar,Burgers,5,0.0527,8
Philadelphia,Food Trucks,105,0.0527,219
Harleysville,Restaurants,28,0.0526,81
Media,Restaurants,127,0.0526,515
Oldsmar,American (Traditional),10,0.0526,15
Langhorne,Burgers,5,0.0526,5
Seffner,Chicken Wings,7,0.0526,11
Valrico,Restaurants,64,0.0525,135
Media,Burgers,6,0.0525,6
Tampa,Hair Salons,162,0.0525,161
Ambler,Coffee & Tea,5,0.0525,4
Philadelphia,Cheese Shops,10,0.0525,12
Tampa,Real Estate,164,0.0524,194
Philadelphia,Painters,21,0.0524,18
Lansdale,Nail Salons,7,0.0524,7
Saint Petersburg,Museums,6,0.0524,10
Yardley,Nightlife,5,0.0524,8
Seminole,Sandwiches,15,0.0524,28
Tampa,Playgrounds,8,0.0524,7
St. Petersburg,Pizza,11,0.0524,8
Yardley,Bars,5,0.0524,8
Lutz,Tacos,5,0.0524,5
Saint Petersburg,Food,218,0.0523,475
Philadelphia,Eyewear & Opticians,8,0.0523,5
Malvern,Automotive,6,0.0523,3
Phoenixville,Nightlife,30,0.0523,114
Philadelphia,Kosher,10,0.0522,8
Brandon,Beauty & Spas,93,0.0522,117
Philadelphia,Yoga,68,0.0522,182
Tampa,Dive Bars,5,0.0522,4
Lansdale,Local Services,10,0.0522,7
Tampa,Parking,8,0.0522,6
Doylestown,Breakfast & Brunch,12,0.0521,14
New Port Richey,Bars,27,0.0521,29
Philadelphia,Children's Clothing,8,0.0521,5
New Port Richey,Nightlife,27,0.0521,29
Tampa,Vietnamese,34,0.0521,59
Dunedin,Sushi Bars,6,0.0521,7
Broomall,Restaurants,33,0.0521,90
Tampa,Soul Food,17,0.052,20
Broomall,Breakfast & Brunch,6,0.052,5
Palm Harbor,Event Planning & Services,6,0.052,4
Feasterville Trevose,Pizza,5,0.052,7
Philadelphia,Health & Medical,712,0.052,943
Ardmore,Pizza,8,0.052,12
Bensalem,Italian,9,0.0519,8
Tampa,Cosmetic Dentists,19,0.0519,14
Bensalem,Apartments,6,0.0519,5
Wesley Chapel,Eyelash Service,7,0.0519,7
Philadelphia,Gyms,94,0.0518,122
King of Prussia,Restaurants,124,0.0518,420
Yardley,Food,25,0.0518,36
Brandon,Desserts,9,0.0518,14
Pinellas Park,Home Services,8,0.0518,8
Palm Harbor,Vegetarian,5,0.0518,6
Conshohocken,Food,40,0.0518,82
Ardmore,Sandwiches,9,0.0518,9
