city,category,n_businesses,mean_jaccard,n_pairs
Doylestown,Specialty Food,11,0.0863,15
Philadelphia,Furniture Stores,36,0.0862,34
Lutz,Shopping,50,0.0862,60
Spring Hill,Nightlife,15,0.0861,26
Havertown,Food,43,0.0861,104
Tampa,Arts & Entertainment,177,0.0857,368
Apollo Beach,Food,17,0.0856,29
Spring Hill,Home & Garden,8,0.0856,10
Glen Mills,Grocery,6,0.0855,7
Wesley Chapel,Shopping,78,0.0855,158
Horsham,Food,10,0.0855,11
Levittown,Bars,10,0.0855,12
Prospect Park,Food,7,0.0853,9
Philadelphia,Insurance,5,0.0852,7
Dunedin,Automotive,10,0.0851,8
Hatboro,Sandwiches,6,0.085,5
Oldsmar,Fashion,6,0.085,3
Willow Grove,Shopping,49,0.0849,65
Philadelphia,Sports Wear,12,0.0847,13
Palm Harbor,Burgers,7,0.0847,7
New Port Richey,Food,92,0.0847,141
Wesley Chapel,Home & Garden,11,0.0846,8
Tampa,Orthodontists,10,0.0846,10
Warminster,Coffee & Tea,6,0.0845,10
Wayne,Pets,5,0.0843,5
Largo,Public Services & Government,7,0.0843,5
Tampa,Golf,21,0.0843,40
Yardley,Local Services,5,0.0842,5
Levittown,Burgers,6,0.0842,5
Upper Darby,Bars,7,0.0841,5
Hudson,Food,22,0.084,31
Media,Automotive,8,0.084,11
Richboro,Food,15,0.084,29
Tampa,Parks,40,0.084,86
Palm Harbor,Auto Repair,6,0.0838,5
Media,Sandwiches,26,0.0838,39
Ardmore,Fashion,9,0.0838,8
Hatfield,Food,11,0.0836,15
Doylestown,Active Life,9,0.0836,7
Newtown,Caterers,6,0.0835,6
Doylestown,Real Estate,6,0.0835,6
Upper Darby,Shopping,6,0.0834,6
Tampa,Boot Camps,8,0.0832,8
Port Richey,Italian,7,0.083,11
Feasterville,Food,8,0.0828,12
Saint Petersburg,Fashion,16,0.0828,13
St. Petersburg,Food Trucks,6,0.0828,4
Media,Doctors,7,0.0827,5
Newtown,Hair Salons,5,0.0827,4
Philadelphia,Banks & Credit Unions,28,0.0825,31
New Port Richey,Pets,9,0.0824,10
Plant City,Ice Cream & Frozen Yogurt,6,0.0823,6
Brandon,Shopping,152,0.0822,331
Levittown,Nightlife,11,0.0821,13
Dunedin,Beer Bar,6,0.0821,13
Tampa,Furniture Stores,39,0.0821,41
Exton,Local Services,14,0.0819,12
St. Petersburg,Parks,13,0.0819,23
King of Prussia,Furniture Stores,7,0.0818,8
Philadelphia,Landmarks & Historical Buildings,52,0.0818,135
Langhorne,Health & Medical,8,0.0816,8
Spring Hill,Food,69,0.0816,164
Clearwater,Tanning,5,0.0815,6
Norristown,Local Services,14,0.0815,11
Clearwater,Spray Tanning,5,0.0815,6
Trinity,Doctors,5,0.0814,3
Havertown,Coffee & Tea,8,0.0813,8
Lansdale,Shopping,25,0.0812,31
Port Richey,Pizza,5,0.0811,9
Tampa,Telecommunications,7,0.081,5
Tampa,Farmers Market,8,0.081,4
Ardmore,Shopping,44,0.081,73
Doylestown,Local Services,12,0.0809,9
King of Prussia,Grocery,6,0.0808,8
New Port Richey,Health & Medical,21,0.0805,19
Seminole,Grocery,6,0.0805,13
Philadelphia,Races & Competitions,6,0.0804,11
Tampa,Street Vendors,12,0.0804,23
Tampa,Accessories,27,0.0804,24
Tampa,Jewelry,20,0.0804,21
Tarpon Springs,Fast Food,8,0.0803,10
Largo,Shopping,100,0.0803,164
Wesley Chapel,Grocery,7,0.0802,12
Clearwater,Drugstores,11,0.0801,15
Springfield,Home Services,6,0.08,7
Philadelphia,Martial Arts,7,0.08,5
Huntingdon Valley,Health & Medical,9,0.0799,7
Largo,Wine & Spirits,11,0.0799,15
Largo,Beer,11,0.0799,15
Tampa,Physical Therapy,12,0.0798,12
Tampa,Antiques,17,0.0798,19
Doylestown,Music & Video,5,0.0794,5
Doylestown,Books,5,0.0794,5
Doylestown,Mags,5,0.0794,5
Glen Mills,Sandwiches,8,0.0794,8
Philadelphia,Shoe Stores,40,0.0794,56
Tampa,Flowers & Gifts,22,0.0793,20
Tampa,Shopping,1162,0.0791,2927
King of Prussia,Home Decor,8,0.0791,9
Philadelphia,Music & DVDs,25,0.0791,67
Tampa,Active Life,347,0.079,616
Tarpon Springs,Fashion,5,0.079,4
St. Petersburg,Art Galleries,7,0.0789,7
Tampa,Home & Garden,199,0.0787,251
King of Prussia,Home & Garden,18,0.0786,24
Tarpon Springs,Active Life,18,0.0785,14
Palm Harbor,Fast Food,13,0.0785,15
Exton,Shopping,52,0.0784,65
Warrington,Shopping,21,0.0784,20
King of Prussia,Hair Salons,6,0.0784,7
Levittown,Sandwiches,13,0.0783,13
West Chester,Juice Bars & Smoothies,5,0.0782,9
Media,Local Services,5,0.0781,3
Philadelphia,Music & Video,89,0.0781,218
Philadelphia,Mags,89,0.0781,218
Philadelphia,Books,89,0.0781,218
Tampa,Performing Arts,7,0.0781,5
Lansdale,Event Planning & Services,6,0.078,5
Holmes,Restaurants,10,0.0779,14
Tampa,Seafood Markets,8,0.0778,7
Pottstown,Home & Garden,7,0.0778,6
Spring Hill,Home Services,18,0.0778,27
Paoli,Shopping,5,0.0777,5
Aston,Restaurants,45,0.0777,145
Philadelphia,Comic Books,5,0.0777,9
Philadelphia,Toy Stores,16,0.0777,14
St. Pete Beach,Shopping,5,0.0776,7
Philadelphia,Diagnostic Services,8,0.0774,5
Warrington,Home Services,6,0.0773,4
Wesley Chapel,Drugstores,7,0.0773,12
Brandon,Cosmetics & Beauty Supply,5,0.0772,5
Lahaska,Food,9,0.0772,6
Pinellas Park,Beauty & Spas,10,0.0771,11
Brandon,Mobile Phones,11,0.077,8
Wesley Chapel,Health & Medical,48,0.077,72
Willow Grove,Fashion,13,0.077,16
Tampa,Contractors,18,0.0768,14
Folsom,Restaurants,40,0.0768,83
West Chester,Pets,6,0.0767,5
Lansdale,Doctors,6,0.0767,4
Broomall,Local Services,6,0.0766,6
New Port Richey,Parks,6,0.0763,5
Tampa,Organic Stores,13,0.0763,13
New Port Richey,Contractors,5,0.0763,4
Philadelphia,Financial Services,61,0.0763,67
Tampa,Fishing,5,0.0763,4
